cntnum,stmerch,cntdate,deptcode,deptname,subdeptcode,subdeptname,sku,sbc,ibc,bndname,prname,prmodel,soh,cntqnt,varianceqnt,extphycnt_retail,extphycnt_cost,extphy_retailvar,extphy_costvar,gmperc,skutype,rpname
00010F111124001,00010,20241111,03,DT Accessories,0325,Case And Film,280953,2000002809531,             ,SAMSUNG                       ,$$ ZFLIP4 CLEAR COVER WITH RING SAMSUNG BLACK EF-OF721CTEGWW,?EF-OF721CTEGWW,1,1,0,990,259,0,0,72.01,Credit,STK2
00010F111124001,00010,20241111,03,DT Accessories,0325,Case And Film,291329,8806095064895,             ,SAMSUNG                       ,CASE SAMSUNG Z FLIP 5 SILICONE WITH RING CREAM EF-PF731TUEGWW,?EF-PF731TUEGWW,1,1,0,1190,779,0,0,29.96,Credit,STK2
00010F111124001,00010,20241111,03,DT Accessories,0325,Case And Film,299502,8806095611884,             ,SAMSUNG                       ,SAMSUNG FLIP6 FLAP VEGAN LEATHER CASE MINT EF-VF741PMEGWW,EF-VF741PMEGWW,4,4,0,9960,6516,0,0,30,Credit,STK2
00010F111124001,00010,20241111,03,DT Accessories,0325,Case And Film,291342,8806095062624,             ,SAMSUNG                       ,CASE SAMSUNG Z FOLD 5 STANDING WITH EF-MF946CUEGWW,?EF-MF946CUEGWW,3,3,0,5370,3513,0,0,30,Credit,STK2
00010F111124001,00010,20241111,03,DT Accessories,0325,Case And Film,299439,8809983293025,             ,SAMSUNG                       ,SAMSUNG FLIP6 UBHC VARIETY CASE GP-FPF741HIBGW,GP-FPF741HIBGW,2,2,0,2380,1558,0,0,29.96,Credit,STK2
00010F111124001,00010,20241111,03,DT Accessories,0325,Case And Film,273227,1000190000063,             ,HEAL,CASE SMART HYBRID CLEAR HEAL CASE MINI6 CLEAR MGN,CASE MINI6 CLEAR MGN,10,10,0,9900,6476.6,0,0,30,Credit,STK2
00010F111124001,00010,20241111,03,DT Accessories,0325,Case And Film,291334,8806095084442,             ,SAMSUNG                       ,CASE SAMSUNG Z FOLD 5 ECO-LEATHER GRAPHITE EF-VF946PBEGWW,?EF-VF946PBEGWW,1,1,0,2390,1564,0,0,29.98,Credit,STK2
00010F111124001,00010,20241111,03,DT Accessories,0325,Case And Film,293422,8806095225524,             ,SAMSUNG                       ,CASE SAMSUNG S23 FE CLEAR GADGET TRANSPARENT EF-XS711CTEGWW,EF-XS711CTEGWW,1,1,0,990,648,0,0,29.96,Credit,STK2
00010F111124001,00010,20241111,03,DT Accessories,0325,Case And Film,291338,2000002913382,             ,SAMSUNG                       ,$$ CASE SAMSUNG Z FOLD 5 SLIM S-PEN EF-OF94PCLEGWW,?EF-OF94PCLEGWW,1,1,0,2790,730,0,0,72,Credit,STK2
00010F111124001,00010,20241111,03,DT Accessories,0325,Case And Film,299460,8806095620091,             ,SAMSUNG                       ,SAMSUNG FLIP6 SILICONE CASE WITH RING YELLOW EF-PF741TYEGWW,EF-PF741TYEGWW,3,3,0,3570,2337,0,0,29.96,Credit,STK2
00010F111124001,00010,20241111,03,DT Accessories,0325,Case And Film,299461,8806095613888,             ,SAMSUNG                       ,SAMSUNG FLIP6 CLEARCASE WITHRING TRANSPARANCY EF-QF741CTEGWW,EF-QF741CTEGWW,4,4,0,4360,2852,0,0,30.01,Credit,STK2
00010F111124001,00010,20241111,03,DT Accessories,0325,Case And Film,280949,2000002809494,             ,SAMSUNG                       ,$$ZFLIP4 SILICONE COVER W/STRAP SAMSUNG BLACK EF-GF721TBEGWW,?EF-GF721TBEGWW,1,1,0,1190,311,0,0,72.04,Credit,STK2
00010F111124001,00010,20241111,03,DT Accessories,0325,Case And Film,291332,2000002913320,             ,SAMSUNG                       ,$$ CASE SAMSUNG Z FLIP 5 SILICONE WITH RING MINT EF-PF731TMEGW,?EF-PF731TMEGWW,1,1,0,1190,311,0,0,72.04,Credit,STK2
00010F111124001,00010,20241111,03,DT Accessories,0325,Case And Film,291357,8806095064949,             ,SAMSUNG                       ,CASE SAMSUNG Z FLIP 5 SILICONE WITH RING EF-PF731TNEGWW,?EF-PF731TNEGWW,1,1,0,1190,779,0,0,29.96,Credit,STK2
00010F111124001,00010,20241111,03,DT Accessories,0325,Case And Film,291368,8806095062617,             ,SAMSUNG                       ,CASE SAMSUNG Z FOLD 5 STANDING WITH STRAP EF-MF946CBEGWW,?EF-MF946CBEGWW,2,2,0,3580,2342,0,0,30,Credit,STK2
00010F111124001,00010,20241111,03,DT Accessories,0325,Case And Film,295971,6974994161075,             ,SAMSUNG                       ,S24+ ECO LEATHER CASE SAMSUNG GP-FPS926HCAVW DARK VIOLET,GP-FPS926HCAVW,1,1,0,1190,779,0,0,29.96,Credit,STK2
00010F111124001,00010,20241111,03,DT Accessories,0325,Case And Film,295980,8806095426853,             ,SAMSUNG                       ,S24+ SILICONE CASE SAMSUNG EF-PS926TEEGWW DARK VIOLET,EF-PS926TEEGWW,2,2,0,1580,1034,0,0,29.98,Credit,STK2
00010F111124001,00010,20241111,03,DT Accessories,0325,Case And Film,299490,8809983293131,             ,SAMSUNG                       ,SAMSUNG FLIP6 DISNEY FLIPSUIT CARD GP-TOF741HIBBW,GP-TOF741HIBBW,2,2,0,780,510,0,0,30.04,Credit,STK2
00010F111124001,00010,20241111,03,DT Accessories,0325,Case And Film,280966,2000002809661,             ,SAMSUNG                       ,$$ ZFOLD4 SILICONE GRIP COVER SAMSUNG BLACK EF-GF936TBEGWW,?EF-GF936TBEGWW,1,1,0,1490,390,0,0,71.99,Credit,STK2
00010F111124001,00010,20241111,03,DT Accessories,0325,Case And Film,295991,6974994161198,             ,SAMSUNG                       ,S24 ULTRA ECO LEATHER CASE SAMSUNG GP-FPS928HCAAW TAUPE,GP-FPS928HCAAW,2,2,0,2380,1558,0,0,29.96,Credit,STK2
00010F111124001,00010,20241111,03,DT Accessories,0325,Case And Film,299436,4897138060145,             ,SAMSUNG                       ,SAMSUNG FOLD6 SLIM CLEAR CASE TRANSPARENCY GP-FFF956YCATW,GP-FFF956YCATW,3,3,0,2670,1746,0,0,30.03,Credit,STK2
